Alex: 35, VoiceGenderMale, com.apple.speech.synthesis.voice.Alex, ['en_US']
Alice: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.alice, ['it_IT']
Alva: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.alva, ['sv_SE']
Amelie: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.amelie, ['fr_CA']
Anna: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.anna, ['de_DE']
Carmit: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.carmit, ['he_IL']
Damayanti: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.damayanti, ['id_ID']
Daniel: 35, VoiceGenderMale, com.apple.speech.synthesis.voice.daniel, ['en_GB']
Diego: 35, VoiceGenderMale, com.apple.speech.synthesis.voice.diego, ['es_AR']
Ellen: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.ellen, ['nl_BE']
Fiona: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.fiona, ['en-scotland']
Fred: 30, VoiceGenderMale, com.apple.speech.synthesis.voice.Fred, ['en_US']
Ioana: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.ioana, ['ro_RO']
Joana: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.joana, ['pt_PT']
Jorge: 35, VoiceGenderMale, com.apple.speech.synthesis.voice.jorge, ['es_ES']
Juan: 35, VoiceGenderMale, com.apple.speech.synthesis.voice.juan, ['es_MX']
Kanya: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.kanya, ['th_TH']
Karen: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.karen, ['en_AU']
Kyoko: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.kyoko, ['ja_JP']
Laura: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.laura, ['sk_SK']
Lekha: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.lekha, ['hi_IN']
Luca: 35, VoiceGenderMale, com.apple.speech.synthesis.voice.luca, ['it_IT']
Luciana: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.luciana, ['pt_BR']
Maged: 35, VoiceGenderMale, com.apple.speech.synthesis.voice.maged, ['ar_SA']
Mariska: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.mariska, ['hu_HU']
Mei-Jia: 35, VoiceGenderFemale, com.apple.speech.synthesis.voice.mei-jia, ['zh_TW']
Melina: 35, VoiceGenderFemale, co
